index,len_payload,fernet_enc,fernet_dec,rsa_enc,rsa_dec
171,170,2.5999994250014424e-05,2.120001590810716e-05,3.63999861292541e-05,0.00031460000900551677
172,162,2.859998494386673e-05,2.1499989088624716e-05,3.759999526664615e-05,0.0003149000112898648
173,164,2.7300004148855805e-05,2.139998832717538e-05,3.6500015994533896e-05,0.0003176999744027853
174,170,2.649999805726111e-05,2.1099986042827368e-05,3.670001751743257e-05,0.0003189999843016267
175,166,2.61999957729131e-05,2.120001590810716e-05,3.63999861292541e-05,0.00031430000672116876
176,167,2.8300011763349175e-05,2.3300002794712782e-05,3.709999145939946e-05,0.00032240001019090414
177,173,2.8300011763349175e-05,2.1499989088624716e-05,3.8700003642588854e-05,0.00031480001052841544
178,171,2.649999805726111e-05,2.1299987565726042e-05,3.640001523308456e-05,0.00031480001052841544
179,169,2.6399997295811772e-05,2.1400017431005836e-05,3.6500015994533896e-05,0.00031499998294748366
180,168,3.9700011257082224e-05,2.6699999580159783e-05,4.569999873638153e-05,0.0003234999894630164
181,167,4.919999628327787e-05,3.399999695830047e-05,4.089999129064381e-05,0.0003184000088367611
182,170,2.929999027401209e-05,2.1700019715353847e-05,3.890000516548753e-05,0.0003153000143356621
183,174,2.720000338740647e-05,2.5100016500800848e-05,3.6900019040331244e-05,0.000319099985063076
184,176,2.720000338740647e-05,2.139998832717538e-05,3.6999990697950125e-05,0.00032419999479316175
185,176,2.780000795610249e-05,2.160001895390451e-05,3.7600024370476604e-05,0.0006893999816384166
186,172,7.54999928176403e-05,3.71999922208488e-05,6.570000550709665e-05,0.0004929999995511025
187,178,8.870000601746142e-05,4.740001168102026e-05,7.499998901039362e-05,0.0010464999941177666
188,170,7.700000423938036e-05,3.0499999411404133e-05,5.1099981646984816e-05,0.0003310000174678862
189,161,3.329999162815511e-05,2.5699991965666413e-05,4.050001734867692e-05,0.00032900000223889947
190,169,3.3199990866705775e-05,2.61999957729131e-05,4.1399995097890496e-05,0.0004036000173073262
191,183,6.0699996538460255e-05,3.860000288113952e-05,6.329998723231256e-05,0.0005300000193528831
192,180,9.879999561235309e-05,4.67000063508749e-05,8.24000162538141e-05,0.0014191999798640609
193,164,7.000000914558768e-05,3.4199998481199145e-05,5.729999975301325e-05,0.0003767999878618866
194,174,3.619998460635543e-05,2.7700007194653153e-05,4.650000482797623e-05,0.00038720000884495676
195,170,3.5699980799108744e-05,2.6699999580159783e-05,8.630001684650779e-05,0.0007181999972090125
196,168,6.389999180100858e-05,4.959999932907522e-05,8.599998545832932e-05,0.0007341000018641353
197,174,6.749999010935426e-05,5.020000389777124e-05,8.659999002702534e-05,0.0007160000095609576
198,168,6.349998875521123e-05,4.939999780617654e-05,8.58000130392611e-05,0.0007355999841820449
199,163,6.729998858645558e-05,4.9200025387108326e-05,8.74000252224505e-05,0.0007189999741967767
